Member A,Class A,Member B,Class B,Volume (m³)
203,horizontal,448,brace,7.142747e-06
129,horizontal,25,leg,N/A
156,horizontal,321,brace,1.336540e-05
340,brace,62,leg,N/A
136,horizontal,271,brace,1.048063e-05
161,horizontal,318,brace,1.672461e-05
143,horizontal,291,brace,6.222347e-07
139,horizontal,271,brace,6.582533e-07
123,horizontal,23,leg,N/A
123,horizontal,27,leg,N/A
122,horizontal,247,brace,1.104272e-06
193,horizontal,422,brace,5.189436e-06
154,horizontal,322,brace,7.040893e-07
121,horizontal,20,leg,N/A
327,brace,57,leg,N/A
210,brace,214,brace,3.274242e-06
194,horizontal,432,brace,6.942797e-06
324,brace,340,brace,1.268725e-05
257,brace,269,brace,3.497105e-06
279,brace,37,leg,N/A
180,horizontal,364,brace,5.188302e-06
290,brace,294,brace,4.941456e-06
398,brace,415,brace,1.491358e-07
432,brace,85,leg,N/A
12,leg,235,brace,N/A
39,leg,43,leg,N/A
288,brace,292,brace,4.941456e-06
110,horizontal,13,leg,N/A
209,brace,213,brace,3.274242e-06
272,brace,276,brace,4.751185e-06
204,horizontal,442,brace,7.691083e-06
89,leg,93,leg,N/A
263,brace,267,brace,3.766075e-06
183,horizontal,385,brace,5.315668e-06
122,horizontal,20,leg,N/A
119,horizontal,21,leg,N/A
359,brace,72,leg,N/A
397,brace,83,leg,N/A
117,horizontal,246,brace,8.276783e-06
171,horizontal,66,leg,N/A
187,horizontal,81,leg,N/A
427,brace,94,leg,N/A
280,brace,292,brace,4.703400e-06
285,brace,38,leg,N/A
13,leg,224,brace,N/A
154,horizontal,307,brace,1.158315e-05
423,brace,447,brace,3.917074e-06
1,leg,208,brace,N/A
120,horizontal,19,leg,N/A
168,horizontal,337,brace,2.200452e-05
131,horizontal,27,leg,N/A
426,brace,434,brace,3.862433e-06
20,leg,250,brace,N/A
441,brace,442,brace,2.921059e-06
141,horizontal,142,horizontal,6.400172e-07
106,horizontal,227,brace,7.851999e-06
22,leg,241,brace,N/A
49,leg,53,leg,N/A
336,brace,61,leg,N/A
265,brace,30,leg,N/A
133,horizontal,33,leg,N/A
103,horizontal,104,horizontal,6.399562e-07
100,horizontal,2,leg,N/A
